Id,Label,Weight
5g,5g,0.0003043361725926666
abandon,abandon,0.0013490070603269732
ability,ability,3.450807845453798e-07
able,able,2.736765843740883e-07
aboard,aboard,0.00029378267406222593
abroad,abroad,0.00033199424300980976
absence,absence,3.07304274953662e-07
absolute,absolute,2.724018050047598e-07
accelerate,accelerate,0.0006636459985961122
accept,accept,3.9477827251858525e-07
access,access,0.00073229591333745
accessory,accessory,0.0011187407134976145
accompany,accompany,0.0012509454161145593
accord,accord,0.00020410787572054456
account,account,2.4699661847963303e-07
accounting,accounting,1.3332069855865163e-07
accurately,accurately,2.568804347948859e-07
accuse,accuse,0.0010796508263013393
across,across,0.000338863182889612
act,act,3.326175525260368e-07
action,action,0.0005989452101696392
active,active,2.6940394353267496e-07
activist,activist,2.452330001446899e-07
activity,activity,0.00017753509739539021
actually,actually,3.726869111177714e-07
acute,acute,0.001518392668470778
adapt,adapt,0.0004435570311621739
add,add,0.0008949306391670171
addition,addition,3.413194386427108e-07
additional,additional,0.0002386239086425443
address,address,2.3492123856687336e-07
adequate,adequate,2.646642652335442e-07
administration,administration,5.867707420853475e-05
admire,admire,0.0015188875301351595
admit,admit,2.3090286117384595e-07
adopt,adopt,0.0003115848597399784
adoption,adoption,3.001796608173976e-07
adoptive,adoptive,2.8955102402264374e-07
advance,advance,2.0934017098202324e-07
advanced,advanced,3.654777336112682e-07
advice,advice,0.0003501284607608982
advise,advise,0.00037549783101216585
adviser,adviser,0.0010703636831339018
advisory,advisory,0.0005580805721911659
affair,affair,2.4674165928681995e-07
affect,affect,2.5866501488540794e-05
affected,affected,3.108784406635309e-07
affiliate,affiliate,1.8078304886920478e-07
afield,afield,0.0006253850827243083
africa,africa,0.0004605138885203057
african,african,0.0004799338727422078
afternoon,afternoon,2.3326579179691332e-07
agency,agency,0.00016124271592846386
agenda,agenda,2.554090314634681e-07
ago,ago,0.0011822854395605582
agree,agree,1.8774874676200286e-07
agricultural,agricultural,2.3056666206458623e-07
agriculture,agriculture,0.0015183661310132373
aground,aground,0.0016351762584527307
ahead,ahead,7.899163372083609e-05
aid,aid,0.00020494103603606968
aim,aim,2.9255682741018497e-07
air,air,0.00015834164962734486
airlift,airlift,2.5467163286035564e-07
airliner,airliner,0.0006042037999349204
airplane,airplane,2.7992206240025446e-07
airport,airport,0.00019456688922030602
airway,airway,0.00012216315905163759
aisle,aisle,0.00090388512777979
alarm,alarm,0.0015121935104696663
alert,alert,0.00039133666032950857
allegedly,allegedly,0.0006494083200200959
allergy,allergy,2.3768254537374515e-07
alleviate,alleviate,2.7897042535661545e-07
allied,allied,0.0011187005725688615
allocate,allocate,0.0009606274860437178
allow,allow,7.414792795439555e-05
ally,ally,3.420644882177003e-07
almost,almost,0.00017483445924477785
alone,alone,0.0010733696572261448
along,along,9.865195404861032e-05
alp,alp,2.639301529386123e-07
alpine,alpine,2.6982049805093095e-07
already,already,0.000912906046966336
also,also,0.00024306491185983114
alternative,alternative,3.626086562252932e-07
although,although,2.942208422630341e-07
alumnus,alumnus,3.253954671443333e-07
always,always,4.3274586172583034e-07
ambassador,ambassador,0.0008619211846392305
ambitious,ambitious,2.9838268459610875e-07
amelia,amelia,3.584214195517749e-07
america,america,3.102857258285507e-07
amid,amid,0.00041733311678292685
amidst,amidst,3.764173023150082e-07
among,among,0.0002892329076304354
ana,ana,2.2588134900699462e-07
analysis,analysis,0.0003335265490641479
analyst,analyst,0.00013639065706226442
anchor,anchor,0.00027982179647939505
anger,anger,0.0015544625359184387
angle,angle,4.820688543373237e-07
animal,animal,0.0001772395749023108
animosity,animosity,6.111739657802736e-07
anniversary,anniversary,0.0009678464666248211
announce,announce,0.00016461878852630968
announcement,announcement,2.587636441148675e-07
annual,annual,3.291421012000426e-07
another,another,0.00043852649050840273
answer,answer,5.391042909140023e-05
anthem,anthem,4.0235217648436965e-07
anti,anti,0.0003440880022159077
anticipate,anticipate,1.9278993830670055e-07
antiviral,antiviral,2.4321091582087567e-07
anxiety,anxiety,0.0012726873393329842
anyone,anyone,0.00042156262665722443
anything,anything,2.23238719508325e-07
apart,apart,2.935397389735323e-07
apartment,apartment,0.00022533497010084646
apocalypse,apocalypse,2.8968598779396495e-07
apologize,apologize,2.891035794314655e-07
apparatus,apparatus,2.808579539750949e-07
appeal,appeal,0.0006637619077563784
appear,appear,0.0005219492668662065
appearance,appearance,3.858319917287889e-07
appetite,appetite,2.666604826118782e-07
apple,apple,0.0006063667990142862
apply,apply,2.614963365274571e-07
approach,approach,0.00011471836979560769
approval,approval,2.4423131372430805e-07
approve,approve,0.0004956485533103297
area,area,0.00013836792808155505
argument,argument,0.000495642324268214
arm,arm,3.481330519915251e-07
armed,armed,0.0012506746487127754
around,around,0.00023169592894882568
arrange,arrange,0.0004786390183592349
arrangement,arrangement,3.126855665160529e-07
arrest,arrest,0.0006211720855315085
arrival,arrival,0.0006197461756648152
arrive,arrive,0.0002445111885897813
art,art,0.00020300073362261025
article,article,3.9788554572501257e-07
asia,asia,0.0004894327445991341
asian,asian,0.0010595151672788217
ask,ask,0.00021415933964837427
assembly,assembly,2.5658531396769643e-07
assess,assess,0.00044613603787661295
asset,asset,0.0022390168320706866
assist,assist,0.00023676008694573626
associate,associate,0.0007083381589525557
association,association,0.00027989223427668844
assure,assure,3.076922311298466e-07
astonish,astonish,2.23238719508325e-07
astronomical,astronomical,0.0013294737094784596
athlete,athlete,3.082110132776667e-07
attack,attack,0.00151065137082808
attempt,attempt,0.0005456260701380196
attend,attend,1.0943218064677747e-07
attendant,attendant,3.3326629560929375e-07
attention,attention,3.573220804948173e-07
attitude,attitude,0.0005191944527000944
attraction,attraction,2.725902695015428e-07
audit,audit,1.3332069855865163e-07
august,august,0.0004533119524033169
australia,australia,0.00017110961596007384
australian,australian,0.00022025702204409917
authority,authority,0.00028780692594920277
authorization,authorization,3.0516456531601254e-07
auto,auto,0.0007879313857743707
automobile,automobile,0.000925219133920312
autonomous,autonomous,2.9127113466624814e-07
available,available,0.00010396954080393471
average,average,4.7029011671680805e-07
aviation,aviation,4.4598722536296064e-07
avoid,avoid,0.0007827400146808265
await,await,3.1826402378116685e-07
awareness,awareness,0.0005193060743204297
away,away,0.0003961625309807577
awful,awful,0.0010636097982294045
axe,axe,3.717270557216054e-07
ba,ba,2.56151945667274e-07
baby,baby,2.7740296227678753e-07
back,back,0.0002601100587868662
bad,bad,0.0012861071244547383
baffle,baffle,3.8253218299253325e-07
bag,bag,0.0004171106030192311
balance,balance,2.2222404968492928e-07
bali,bali,3.004493026915283e-07
ban,ban,0.00018241442780702295
bank,bank,0.0005194039863627522
banker,banker,3.8258157004948775e-07
bar,bar,0.0005431759893235747
barcelona,barcelona,0.00021419440451205253
barely,barely,0.0015952032137934535
barrel,barrel,0.00044367954010808314
base,base,0.00013777561702694503
basis,basis,0.00048190100762538667
bat,bat,0.0002722888424113852
bathroom,bathroom,2.638488837129696e-07
batter,batter,0.0007657882056532085
battle,battle,0.0011927017334714368
bay,bay,2.999509130184825e-07
bear,bear,0.0005754561706964612
beat,beat,2.2934390176966017e-07
beauty,beauty,0.0005063950266218714
become,become,0.0004874985571165343
becomes,becomes,0.0005754421496103579
bed,bed,0.0005828979425406074
beg,beg,3.310342363890211e-07
begin,begin,0.00024495127473650485
beginning,beginning,0.0005552544715018734
behave,behave,2.1952933448875614e-07
behavior,behavior,2.8425914043865135e-07
behind,behind,0.0002363465588477116
beijing,beijing,0.00028613164734209834
belated,belated,0.001484442186262873
believe,believe,0.00029114830634606573
bell,bell,0.0010155986413022176
belt,belt,2.992226352923056e-07
ben,ben,2.2109711225450002e-07
berth,berth,0.0008869631277194052
best,best,0.000895052234547594
bet,bet,0.00010452943316525327
beyond,beyond,4.729043772521794e-05
bid,bid,3.0554647495117935e-07
big,big,0.0002492194790463063
bill,bill,9.878996507761588e-05
billion,billion,0.0005891829846749462
bin,bin,3.0136397327018943e-07
bird,bird,0.0002043963552973687
birth,birth,3.2838341920873353e-07
birthday,birthday,2.2109711225450002e-07
bit,bit,0.0002873472673632471
black,black,0.0003731635914917344
blame,blame,0.0013674311308294735
blanket,blanket,2.4686289655724916e-07
bleach,bleach,4.305753667050408e-07
bleak,bleak,0.0009678399829746368
block,block,2.931263339556805e-07
blockade,blockade,0.0015035087915025956
blood,blood,0.0009252267617694908
blow,blow,0.0004124104334156678
blown,blown,3.5954372836331533e-07
blue,blue,0.00018669445928803108
board,board,0.0002086373908421781
boat,boat,0.0008530086118654871
body,body,0.00020500820534608482
bogus,bogus,3.0001142541102806e-07
bold,bold,2.6335396609705354e-07
bolster,bolster,4.2856044670079276e-07
bombshell,bombshell,3.253954671443333e-07
bond,bond,0.001300187176387635
book,book,2.4739221017597715e-07
boom,boom,0.0004628348054030066
booming,booming,2.570710452450439e-07
boost,boost,0.0002788769777500622
border,border,7.258502232483889e-05
borrower,borrower,2.3426785461583535e-07
bosch,bosch,0.0009943962523195336
boston,boston,0.0003546301277660381
bottle,bottle,0.00039372460289962576
bottom,bottom,0.00046269866708711254
bounce,bounce,0.0004627114933873736
bound,bound,0.0006445136636734437
bouquet,bouquet,0.0007869974391310065
bowl,bowl,2.165010150300579e-07
box,box,2.893764977300853e-07
brace,brace,0.00048169598947121213
branch,branch,2.1766211784185965e-07
brand,brand,0.0005924690681926269
brave,brave,2.5886571877998544e-07
brazil,brazil,2.6582163847465285e-07
breach,breach,2.431090760253529e-07
break,break,0.0006055176165622356
breakdown,breakdown,2.5197674883490584e-07
breaking,breaking,0.00032752900106148067
breakthrough,breakthrough,2.367337437996965e-07
breathing,breathing,0.0014185513119327566
bride,bride,0.0006446351678612624
brief,brief,0.00011831756654442658
briefing,briefing,3.0673687456813295e-07
bring,bring,0.0001194151467911342
brink,brink,3.672140796799069e-07
british,british,0.00016326187774660662
broad,broad,0.00025122026970304107
broadcaster,broadcaster,2.6542873144687734e-07
broaden,broaden,2.5407883757603844e-07
broadly,broadly,0.0007338511675793418
broke,broke,0.0007868878877895461
brunt,brunt,0.0011505628898356346
brutal,brutal,0.0011188470609006067
bubble,bubble,0.001118829138081179
budget,budget,0.0001324353743226448
build,build,3.643759884952514e-05
builder,builder,2.225633345202672e-07
building,building,2.595139219221024e-07
bulldozer,bulldozer,0.0008189000900421298
bun,bun,0.00048403244273630185
burden,burden,0.0019717828520200466
bureau,bureau,2.45073899905319e-07
bus,bus,0.0013895431094501694
business,business,0.00048281942166045644
businessman,businessman,2.555161497712442e-07
bust,bust,7.106975977178286e-08
bustle,bustle,0.0006254789524054012
busy,busy,2.996358216061093e-07
buy,buy,0.0005540490875258629
buyer,buyer,0.0011293925519465808
cab,cab,2.600482561771894e-07
cabin,cabin,2.26414336370893e-07
cabinet,cabinet,1.7833642525286098e-07
calculate,calculate,2.7055868684301055e-07
california,california,0.0005343241001599822
call,call,0.0003100664258780159
calm,calm,0.0009274251077440199
cambodia,cambodia,0.00030733425183142814
camp,camp,0.00039439131863317677
campaign,campaign,0.0008820290376490385
campus,campus,2.233202599452341e-07
canada,canada,0.0002729291974317051
canary,canary,2.886945124986372e-07
cancel,cancel,0.00022906925127735514
cancellation,cancellation,8.673355553173574e-05
candidate,candidate,2.1598351341800921e-07
cannot,cannot,0.001313568309555909
cap,cap,4.558735391668797e-07
capability,capability,0.0009252034547631765
capacity,capacity,0.0002532849199942803
capital,capital,0.00033487916257162647
capitalization,capitalization,0.0017013104704174996
captain,captain,2.1691553791826018e-07
car,car,0.0006169504670907707
care,care,0.0010837747628893476
carefully,carefully,3.4240391613100594e-07
carer,carer,3.2305794173031496e-07
caretaker,caretaker,0.0005595209781832489
cargo,cargo,3.010496012765645e-07
carney,carney,2.896193782794781e-07
carnival,carnival,0.000788603741116358
carrier,carrier,0.00048320798103291304
carry,carry,0.0006480171697936436
cartoon,cartoon,2.1557106840014834e-07
case,case,0.00013086036631828815
cash,cash,0.0009262843606096971
casino,casino,0.0003633775620214491
cast,cast,0.001406935342286455
castigate,castigate,3.686173442372711e-07
casualty,casualty,4.155638437087777e-07
cat,cat,0.0007594496802455318
catch,catch,0.0003022101447805244
catcher,catcher,0.0011826576720231565
cause,cause,0.0005264525102192892
caution,caution,0.0005722828610252701
cautious,cautious,0.0006871145924635209
cautiously,cautiously,0.0010123400333630977
celebrate,celebrate,2.617960128668904e-07
celebration,celebration,0.0002292977754144665
celebrity,celebrity,2.162701945056046e-07
cement,cement,2.162701945056046e-07
censor,censor,2.7997241445461445e-07
censorship,censorship,0.0004840604204643059
center,center,0.00021920057598023024
central,central,0.0004745257004996174
century,century,3.3985463342933304e-07
cerebral,cerebral,0.00037312167143607603
certain,certain,0.0005189456492661682
certificate,certificate,3.4904049889894295e-07
chad,chad,2.165010150300579e-07
chain,chain,0.0005178680380744131
chair,chair,3.169481744736388e-07
chairman,chairman,0.0003798899047478523
chalet,chalet,1.950336682465818e-07
challenge,challenge,0.00012697130221397187
chance,chance,0.0013293335474361704
change,change,0.00022071821608683347
channel,channel,2.3716009263308937e-07
charge,charge,0.0004659448334782519
charger,charger,0.000982615966116221
charitable,charitable,0.0011823321997380416
